date	en_url	image	en_title	ru_title	ru_url
2010-01-12	https://en.wikipedia.org/wiki/2010_Haiti_earthquake		2010 Haiti earthquake	Землетрясение на Гаити	https://ru.wikipedia.org/wiki/Землетрясение_на_Гаити_(2010)
2010-04-20	https://en.wikipedia.org/wiki/Deepwater_Horizon_oil_spill		Deepwater Horizon oil spill	Авария на платформе Deepwater Horizon	https://ru.wikipedia.org/wiki/Авария_на_платформе_Deepwater_Horizon
2010-06-11	https://en.wikipedia.org/wiki/2010_FIFA_World_Cup	https://upload.wikimedia.org/wikipedia/ru/7/79/Logo_Fifa_World_Cup_2010_South_Africa.svg	2010 FIFA World Cup	Чемпионат мира по футболу в ЮАР	https://ru.wikipedia.org/wiki/Чемпионат_мира_по_футболу_2010
2010-12-17	https://en.wikipedia.org/wiki/Tunisian_Revolution	https://upload.wikimedia.org/wikipedia/commons/0/04/Zabadehors.JPG	Tunisian revolution	Начало протестов в Тунисе (преддверие «Арабской весны»)	https://ru.wikipedia.org/wiki/Тунисская_революция
