date	en_url	image	en_title	ru_title	ru_url
2017-01-20	https://en.wikipedia.org/wiki/First_inauguration_of_Donald_Trump		First inauguration of Donald Trump	Инаугурация Дональда Трампа	https://en.wikipedia.org/wiki/First_inauguration_of_Donald_Trump
2017-03-29	https://en.wikipedia.org/wiki/Brexit#Invocation_of_Article_50		Brexit	Запуск процедуры выхода Великобритании из ЕС (статья 50)	https://en.wikipedia.org/wiki/Brexit#Invocation_of_Article_50
2017-07-07	https://en.wikipedia.org/wiki/Treaty_on_the_Prohibition_of_Nuclear_Weapons		Treaty on the Prohibition of Nuclear Weapons	Принятие Договора о запрещении ядерного оружия	https://en.wikipedia.org/wiki/Treaty_on_the_Prohibition_of_Nuclear_Weapons
