date	en_url	image	en_title	ru_title	ru_url
1990-02-11	https://en.wikipedia.org/wiki/Nelson_Mandela		Nelson Mandela	Освобождение Нельсона Манделы	https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BD%D0%B4%D0%B5%D0%BB%D0%B0,_%D0%9D%D0%B5%D0%BB%D1%8C%D1%81%D0%BE%D0%BD
1990-03-21	https://en.wikipedia.org/wiki/Independence_of_Namibia	https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Namibia.svg	South African Border War	Провозглашение независимости Намибии	https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%BC%D0%B8%D0%B1%D0%B8%D1%8F
1990-05-22	https://en.wikipedia.org/wiki/Yemeni_unification		Yemeni unification	Объединение Йемена	https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%8A%D0%B5%D0%B4%D0%B8%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5_%D0%99%D0%B5%D0%BC%D0%B5%D0%BD%D0%B0
1990-08-02	https://en.wikipedia.org/wiki/Invasion_of_Kuwait	https://upload.wikimedia.org/wikipedia/commons/9/93/Tankskuwait.jpg	Iraqi invasion of Kuwait	Вторжение Ирака в Кувейт	https://ru.wikipedia.org/wiki/%D0%92%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_%D0%98%D1%80%D0%B0%D0%BA%D0%B0_%D0%B2_%D0%9A%D1%83%D0%B2%D0%B5%D0%B9%D1%82
1990-10-03	https://en.wikipedia.org/wiki/German_reunification		German reunification	Объединение Германии	https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%8A%D0%B5%D0%B4%D0%B8%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5_%D0%93%D0%B5%D1%80%D0%BC%D0%B0%D0%BD%D0%B8%D0%B8
1990-03-11	https://en.wikipedia.org/wiki/Act_of_the_Re-Establishment_of_the_State_of_Lithuania		Act of the Re-Establishment of the State of Lithuania	Акт о восстановлении независимости Литвы	https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D1%82_%D0%BE_%D0%B2%D0%BE%D1%81%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F_%D0%9B%D0%B8%D1%82%D0%B2%D1%8B
