date	en_url	image	en_title	ru_title	ru_url
1995-03-20	https://en.wikipedia.org/wiki/Tokyo_subway_sarin_attack		Tokyo subway sarin attack	Теракт с зарином в токийском метро	https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D1%80%D0%B0%D0%BA%D1%82_%D0%B2_%D1%82%D0%BE%D0%BA%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%BC_%D0%BC%D0%B5%D1%82%D1%80%D0%BE
1995-08-24	https://en.wikipedia.org/wiki/Windows_95	https://upload.wikimedia.org/wikipedia/ru/8/83/Microsoft_Windows_95_OSR_2.0.jpg	Windows 95	Выход Windows 95	https://ru.wikipedia.org/wiki/Windows_95
1995-09-03	https://en.wikipedia.org/wiki/eBay		EBay	Основание eBay	https://ru.wikipedia.org/wiki/EBay
1995-10-30	https://en.wikipedia.org/wiki/1995_Quebec_referendum		1995 Quebec referendum	Референдум о независимости Квебека	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D0%B4%D1%83%D0%BC_%D0%B2_%D0%9A%D0%B2%D0%B5%D0%B1%D0%B5%D0%BA%D0%B5_(1995)
